id,title,role_bucket,seniority,is_remote_label,skills,salary_mid,state,posted_month,skill,skill_clean
5677814596,Senior Data Engineer I,Data Engineer,Senior,On-site,sql|r,120861.69,Missouri,2026-03,sql,SQL
5677807517,Director of Business Intelligence (26-27),BI Analyst,Mid,On-site,power bi|excel|r,117364.12,Texas,2026-03,power bi,Power BI
5677807517,Director of Business Intelligence (26-27),BI Analyst,Mid,On-site,power bi|excel|r,117364.12,Texas,2026-03,excel,Excel
5677725434,Data Analyst / BI Engineer,Data Engineer,Mid,On-site,sql|python|r,107056.7,Washington,2026-03,sql,SQL
5677725434,Data Analyst / BI Engineer,Data Engineer,Mid,On-site,sql|python|r,107056.7,Washington,2026-03,python,Python
5677694762,Enterprise Data & AI Platform Architect,Other,Mid,On-site,excel|r,97500.0,Arizona,2026-03,excel,Excel
5677685596,Senior Data Engineer I,Data Engineer,Senior,On-site,sql|r,104861.25,Wisconsin,2026-03,sql,SQL
5677626783,BI Analyst & Tableau Developer,BI Analyst,Mid,On-site,tableau|r,96288.33,Texas,2026-03,tableau,Tableau
5675032951,Data Warehouse Analyst Seniors – Power BI/Tableau,BI Analyst,Senior,On-site,power bi|tableau|r,89883.88,Unknown,2026-03,power bi,Power BI
5675032951,Data Warehouse Analyst Seniors – Power BI/Tableau,BI Analyst,Senior,On-site,power bi|tableau|r,89883.88,Unknown,2026-03,tableau,Tableau
5675032449,Sr. Category Insights Analyst (Power BI),BI Analyst,Senior,On-site,power bi|r,131677.45,Texas,2026-03,power bi,Power BI
5674960669,Data & Analytics Cloud Engineering Implementation Manager,Data Engineer,Mid,On-site,excel|r,156400.0,Illinois,2026-03,excel,Excel
5674901413,"Data Solutions Architect - Financial Data, Compliance & Business Intelligence",BI Analyst,Mid,On-site,excel|r,168600.0,Illinois,2026-03,excel,Excel
5674895981,BI Analyst,BI Analyst,Mid,On-site,power bi|r,86426.55,Washington,2026-03,power bi,Power BI
5674866839,"Lead Data Engineer – Financial Data, Compliance & Business Intelligence",Data Engineer,Senior,On-site,excel|r,168600.0,Illinois,2026-03,excel,Excel
5674801968,Data Analyst (Power BI),BI Analyst,Mid,On-site,power bi|r,66876.46,Kentucky,2026-03,power bi,Power BI
5674798711,Sr. Category Insights Analyst (Power BI),BI Analyst,Senior,On-site,power bi|r,54561.23,Missouri,2026-03,power bi,Power BI
5674753311,INTL - Remote Marketing Data Analyst/ Power BI Developer - India,BI Analyst,Mid,Remote,power bi|r,120038.99,Arizona,2026-03,power bi,Power BI
5674735374,Sr. Category Insights Analyst (Power BI),BI Analyst,Senior,On-site,power bi|r,64530.85,Arkansas,2026-03,power bi,Power BI
5674682865,BI Data Analyst,BI Analyst,Mid,On-site,sql|power bi|tableau|python|r|azure,63369.38,Illinois,2026-03,sql,SQL
5674682865,BI Data Analyst,BI Analyst,Mid,On-site,sql|power bi|tableau|python|r|azure,63369.38,Illinois,2026-03,power bi,Power BI
5674682865,BI Data Analyst,BI Analyst,Mid,On-site,sql|power bi|tableau|python|r|azure,63369.38,Illinois,2026-03,tableau,Tableau
5674682865,BI Data Analyst,BI Analyst,Mid,On-site,sql|power bi|tableau|python|r|azure,63369.38,Illinois,2026-03,python,Python
5674682865,BI Data Analyst,BI Analyst,Mid,On-site,sql|power bi|tableau|python|r|azure,63369.38,Illinois,2026-03,azure,Azure
5674674890,Sr. Category Insights Analyst (Power BI),BI Analyst,Senior,On-site,power bi|r,64477.15,Texas,2026-03,power bi,Power BI
5674674529,Sr. Category Insights Analyst (Power BI),BI Analyst,Senior,On-site,power bi|r,54596.52,Florida,2026-03,power bi,Power BI
5674311435,"Power BI & SQL Analyst -Report Developer (Local, AZ Only)",BI Analyst,Mid,Remote,sql|power bi|r,95548.58,Arizona,2026-03,sql,SQL
5674311435,"Power BI & SQL Analyst -Report Developer (Local, AZ Only)",BI Analyst,Mid,Remote,sql|power bi|r,95548.58,Arizona,2026-03,power bi,Power BI
5674161390,Data Analyst / Power BI Developer,BI Analyst,Mid,Remote,power bi|r|azure,91520.0,Washington,2026-03,power bi,Power BI
5674161390,Data Analyst / Power BI Developer,BI Analyst,Mid,Remote,power bi|r|azure,91520.0,Washington,2026-03,azure,Azure
5674160426,Staff Accountant,Other,Senior,On-site,excel|r,87152.92,Illinois,2026-03,excel,Excel
5673907063,Technical Business Analyst – Healthcare Data Reporting,Data Analyst,Mid,On-site,excel|r,94475.04,Texas,2026-03,excel,Excel
5673730227,Azure Devops Engineer,Data Engineer,Mid,On-site,r|azure,89539.43,Michigan,2026-03,azure,Azure
5673701849,"INTL - REMOTE Data Analyst/ Power BI Developer (Customer, Digital & Loyalty)- India",BI Analyst,Mid,Remote,power bi|r,133509.33,Arizona,2026-03,power bi,Power BI
5673289582,Business Analytics Analyst,Data Analyst,Mid,On-site,sql|r,90000.0,Illinois,2026-03,sql,SQL
5671972881,BI Data Analyst,BI Analyst,Mid,On-site,power bi|r,119851.97,Texas,2026-03,power bi,Power BI
5671949104,Data Analyst,Data Analyst,Mid,On-site,power bi|r,83442.66,Missouri,2026-03,power bi,Power BI
5671589620,Sr. Data Analyst (Tableau/Power BI & Informatica ETL),BI Analyst,Senior,On-site,sql|power bi|tableau|r|snowflake|etl,89931.8,Texas,2026-03,sql,SQL
5671589620,Sr. Data Analyst (Tableau/Power BI & Informatica ETL),BI Analyst,Senior,On-site,sql|power bi|tableau|r|snowflake|etl,89931.8,Texas,2026-03,power bi,Power BI
5671589620,Sr. Data Analyst (Tableau/Power BI & Informatica ETL),BI Analyst,Senior,On-site,sql|power bi|tableau|r|snowflake|etl,89931.8,Texas,2026-03,tableau,Tableau
5671589620,Sr. Data Analyst (Tableau/Power BI & Informatica ETL),BI Analyst,Senior,On-site,sql|power bi|tableau|r|snowflake|etl,89931.8,Texas,2026-03,snowflake,Snowflake
5671589620,Sr. Data Analyst (Tableau/Power BI & Informatica ETL),BI Analyst,Senior,On-site,sql|power bi|tableau|r|snowflake|etl,89931.8,Texas,2026-03,etl,ETL
